iter	Logloss
0	0.6784903272
1	0.6641363251
2	0.6505676938
3	0.6413281388
4	0.6299825621
5	0.6186349791
6	0.6087449747
7	0.5998071986
8	0.5934866207
9	0.5851986188
10	0.5798119066
11	0.5748751421
12	0.5666892649
13	0.5620890879
14	0.5552524049
15	0.5509771392
16	0.5452963371
17	0.5401183376
18	0.5347671028
19	0.5297153295
20	0.5250844658
21	0.5212100156
22	0.5171767501
23	0.5147691379
24	0.5111629309
25	0.5092169777
26	0.5073764769
27	0.5040693116
28	0.5016400529
29	0.4989061831
30	0.4953768433
31	0.4939025125
32	0.4921869084
33	0.4908523313
34	0.4892136194
35	0.4873196573
36	0.4858934059
37	0.4828989758
38	0.4814421959
39	0.4798111509
40	0.4783599367
41	0.4762014603
42	0.4741687707
43	0.4730024847
44	0.4713361343
45	0.4699884768
46	0.4687051072
47	0.467950719
48	0.4658454951
49	0.464740738
50	0.4636850639
51	0.4624857209
52	0.461162862
53	0.4590760753
54	0.4581024247
55	0.4570381259
56	0.4561815807
57	0.4554484044
58	0.4546126331
59	0.4538664139
60	0.4529148906
61	0.4521145897
62	0.4513970532
63	0.4502692674
64	0.4496198439
65	0.4485236505
66	0.4480321754
67	0.4471324657
68	0.4462547657
69	0.4447610365
70	0.4441877108
71	0.4434885155
72	0.4425341318
73	0.4413155844
74	0.4404097615
75	0.4398909844
76	0.4392842066
77	0.4386036312
78	0.4374463118
79	0.4362695011
80	0.4355881136
81	0.4349514174
82	0.4342832689
83	0.4332163392
84	0.432542496
85	0.4318199854
86	0.4312417968
87	0.4309304081
88	0.4302798299
89	0.4296830641
90	0.4289459339
91	0.427964879
92	0.4271032962
93	0.4267952472
94	0.4261897508
95	0.4256404686
96	0.4249725917
97	0.423681854
98	0.4231475916
99	0.4226199626
100	0.4219866497
101	0.421293442
102	0.4207077287
103	0.4200089643
104	0.4192177858
105	0.4187422112
106	0.4183167123
107	0.417451665
108	0.4169825886
109	0.4158886411
110	0.4154569415
111	0.4150092627
112	0.4147416411
113	0.4140810826
114	0.4135929951
115	0.4128175596
116	0.4125764056
117	0.4119967651
118	0.4115637615
119	0.4109661824
120	0.4105299816
121	0.4099346277
122	0.4094663885
123	0.4087579047
124	0.4083192476
125	0.4073599379
126	0.4068597073
127	0.4060611479
128	0.4053732563
129	0.4044830888
130	0.4034495044
131	0.4026034378
132	0.4020187021
133	0.4015496696
134	0.4009727427
135	0.4006045077
136	0.3998683323
137	0.3994773574
138	0.3989194039
139	0.3984900764
140	0.39813927
141	0.3977252281
142	0.3971678394
143	0.3966196358
144	0.3961145153
145	0.3957323064
146	0.3954111902
147	0.3948022679
148	0.3942867258
149	0.3939426437
150	0.3934609722
151	0.3926748313
152	0.3923855811
153	0.3915552674
154	0.3908590953
155	0.3902274331
156	0.3894098968
157	0.3889789818
158	0.3883472126
159	0.3878718635
160	0.387485408
161	0.3869665416
162	0.3864046121
163	0.3858811905
164	0.3854530516
165	0.3847780551
166	0.384329906
167	0.3838435347
168	0.3830265429
169	0.3827325014
170	0.3824150488
171	0.3818634344
172	0.3813951675
173	0.3804366444
174	0.3798005021
175	0.3794052271
176	0.3786888743
177	0.3780385383
178	0.3776744585
179	0.3773360641
180	0.3767052818
181	0.3762546899
182	0.3758222201
183	0.3755041792
184	0.3748931668
185	0.3742951119
186	0.3735792017
187	0.3729798211
188	0.3726605774
