iter	Passed	Remaining
0	28	13996
1	55	13705
2	84	14000
3	141	17593
4	157	15582
5	172	14203
6	186	13154
7	201	12391
8	217	11887
9	232	11396
10	247	10980
11	262	10663
12	282	10594
13	304	10573
14	328	10627
15	351	10646
16	371	10545
17	393	10533
18	419	10622
19	442	10624
20	456	10416
21	485	10544
22	505	10475
23	524	10408
24	539	10253
25	552	10067
26	567	9950
27	583	9842
28	599	9736
29	615	9650
30	632	9570
31	650	9512
32	669	9472
33	684	9382
34	697	9271
35	718	9254
36	741	9282
37	760	9243
38	776	9182
39	798	9178
40	823	9215
41	844	9211
42	882	9377
43	907	9399
44	935	9456
45	957	9447
46	977	9419
47	993	9351
48	1022	9412
49	1050	9458
50	1077	9484
51	1100	9483
52	1121	9455
53	1138	9399
54	1154	9343
55	1171	9284
56	1187	9227
57	1203	9169
58	1221	9133
59	1252	9185
60	1272	9159
61	1291	9123
62	1310	9089
63	1325	9027
64	1341	8976
65	1360	8944
66	1379	8913
67	1397	8876
68	1414	8833
69	1429	8781
70	1445	8735
71	1461	8687
72	1478	8649
73	1495	8607
74	1514	8582
75	1531	8545
76	1548	8509
77	1563	8458
78	1577	8409
79	1593	8364
80	1610	8333
81	1629	8307
82	1645	8265
83	1661	8230
84	1677	8191
85	1693	8153
86	1709	8116
87	1725	8079
88	1743	8049
89	1762	8029
90	1779	7998
91	1796	7965
92	1812	7930
93	1830	7904
94	1846	7872
95	1864	7847
96	1882	7819
97	1901	7799
98	1917	7766
99	1931	7727
100	1946	7691
101	1962	7656
102	1978	7626
103	2002	7626
104	2022	7607
105	2038	7577
106	2054	7547
107	2071	7517
108	2086	7483
109	2102	7455
110	2116	7418
111	2130	7379
112	2144	7344
113	2159	7312
114	2175	7282
115	2190	7250
116	2206	7223
117	2227	7209
118	2242	7179
119	2257	7148
120	2275	7127
121	2290	7098
122	2308	7074
123	2323	7045
124	2340	7021
125	2355	6992
126	2370	6961
127	2385	6932
128	2401	6906
129	2416	6876
130	2430	6846
131	2446	6821
132	2461	6792
133	2475	6761
134	2489	6731
135	2503	6701
136	2518	6673
137	2537	6655
138	2551	6625
139	2567	6601
140	2588	6589
141	2604	6565
142	2617	6533
143	2632	6507
144	2648	6484
145	2665	6462
146	2680	6437
147	2697	6415
148	2711	6386
149	2725	6359
150	2740	6333
151	2754	6305
152	2766	6274
153	2784	6256
154	2799	6232
155	2815	6208
156	2830	6184
157	2846	6162
158	2862	6138
159	2877	6114
160	2892	6090
161	2908	6068
162	2924	6045
163	2939	6021
164	2954	5998
165	2969	5975
166	2985	5953
167	3002	5932
168	3016	5907
169	3028	5877
170	3042	5854
171	3057	5831
172	3072	5807
173	3088	5786
174	3103	5763
175	3117	5739
176	3133	5717
177	3147	5693
178	3160	5667
179	3172	5640
180	3186	5615
181	3200	5592
182	3215	5570
183	3228	5544
184	3241	5519
185	3256	5497
186	3270	5474
187	3286	5453
188	3300	5430
